,alpha,avg_total_deadline,avg_total_paces,avg_total_penalties,avg_total_reward,epsilon,gamma,total_reached_times
162,0.8,31.4942528736,15.3218390805,0.126436781609,31.2298850575,0.03,0.05,87
163,0.8,30.2197802198,14.4065934066,0.395604395604,30.0164835165,0.05,0.05,91
164,0.8,31.7613636364,15.2272727273,0.409090909091,30.9204545455,0.08,0.05,88
165,0.8,27.4712643678,13.6436781609,0.0574712643678,30.0977011494,0.03,0.1,87
166,0.8,29.8369565217,13.9891304348,0.326086956522,29.9402173913,0.05,0.1,92
167,0.8,28.2738095238,13.0238095238,0.392857142857,27.9880952381,0.08,0.1,84
168,0.8,30.5555555556,14.8888888889,0.141414141414,31.0656565657,0.03,0.15,99
169,0.8,30.0537634409,15.1612903226,0.268817204301,31.1666666667,0.05,0.15,93
170,0.8,31.8235294118,15.8705882353,0.317647058824,32.3294117647,0.08,0.15,85
171,0.8,29.9468085106,14.7127659574,0.170212765957,30.4787234043,0.03,0.2,94
172,0.8,31.5425531915,14.5957446809,0.308510638298,30.0691489362,0.05,0.2,94
173,0.8,29.6153846154,14.0549450549,0.43956043956,29.5769230769,0.08,0.2,91
174,0.8,30.2816901408,14.7746478873,0.0985915492958,30.7112676056,0.03,0.25,71
175,0.8,29.4382022472,13.2696629213,0.23595505618,28.9438202247,0.05,0.25,89
176,0.8,30.4301075269,14.8064516129,0.376344086022,30.6397849462,0.08,0.25,93
177,0.8,30.4032258065,13.7580645161,0.225806451613,30.5322580645,0.03,0.3,62
178,0.8,29.3406593407,14.956043956,0.351648351648,30.4120879121,0.05,0.3,91
179,0.8,30.2325581395,16.976744186,0.406976744186,32.8662790698,0.08,0.3,86
180,0.8,29.5212765957,13.8617021277,0.202127659574,29.079787234,0.03,0.35,94
181,0.8,28.2777777778,14.2555555556,0.344444444444,28.6277777778,0.05,0.35,90
182,0.8,30.3623188406,14.3043478261,0.31884057971,30.5289855072,0.08,0.35,69
183,0.8,29.0361445783,14.1807228916,0.10843373494,29.9036144578,0.03,0.4,83
184,0.8,31.1170212766,15.7659574468,0.351063829787,32.4255319149,0.05,0.4,94
185,0.8,28.9655172414,14.8965517241,0.35632183908,30.0517241379,0.08,0.4,87
186,0.8,28.1,13.8,0.18,29.77,0.03,0.45,50
187,0.8,30.5223880597,16.8507462687,0.223880597015,32.2014925373,0.05,0.45,67
188,0.8,30.4444444444,15.3444444444,0.222222222222,31.5555555556,0.08,0.45,90
189,0.85,30.8620689655,14.816091954,0.195402298851,31.1494252874,0.03,0.05,87
190,0.85,30.4945054945,13.6043956044,0.175824175824,29.3791208791,0.05,0.05,91
191,0.85,30.7777777778,14.3222222222,0.277777777778,30.2277777778,0.08,0.05,90
192,0.85,30.0543478261,14.5108695652,0.20652173913,30.6413043478,0.03,0.1,92
193,0.85,29.623655914,15.3655913978,0.215053763441,30.9516129032,0.05,0.1,93
194,0.85,29.2021276596,15.5531914894,0.436170212766,30.9840425532,0.08,0.1,94
195,0.85,29.8101265823,13.3797468354,0.0886075949367,29.5253164557,0.03,0.15,79
196,0.85,30.523255814,16.2558139535,0.337209302326,32.1744186047,0.05,0.15,86
197,0.85,29.5652173913,14.9673913043,0.402173913043,30.6793478261,0.08,0.15,92
198,0.85,31.8902439024,13.743902439,0.219512195122,29.6402439024,0.03,0.2,82
199,0.85,30.0,14.606557377,0.131147540984,30.2704918033,0.05,0.2,61
200,0.85,30.9770114943,15.9310344828,0.459770114943,31.9252873563,0.08,0.2,87
201,0.85,29.0361445783,14.9036144578,0.192771084337,32.156626506,0.03,0.25,83
202,0.85,28.4210526316,13.2105263158,0.210526315789,28.7171052632,0.05,0.25,76
203,0.85,31.0526315789,15.0631578947,0.263157894737,31.2368421053,0.08,0.25,95
204,0.85,30.306122449,16.612244898,0.224489795918,32.0102040816,0.03,0.3,49
205,0.85,28.6184210526,13.8026315789,0.25,29.8223684211,0.05,0.3,76
206,0.85,31.2359550562,15.2808988764,0.404494382022,31.6741573034,0.08,0.3,89
207,0.85,31.4615384615,13.8769230769,0.0923076923077,30.1769230769,0.03,0.35,65
208,0.85,30.0,15.6184210526,0.263157894737,30.7763157895,0.05,0.35,76
209,0.85,28.3720930233,13.9651162791,0.43023255814,29.1453488372,0.08,0.35,86
210,0.85,30.8088235294,14.0735294118,0.176470588235,30.3235294118,0.03,0.4,68
211,0.85,28.6746987952,13.578313253,0.301204819277,29.1626506024,0.05,0.4,83
212,0.85,29.2696629213,15.2471910112,0.404494382022,30.6235955056,0.08,0.4,89
213,0.85,27.5862068966,12.8793103448,0.137931034483,27.9310344828,0.03,0.45,58
214,0.85,31.1904761905,15.5357142857,0.261904761905,31.0773809524,0.05,0.45,84
215,0.85,30.3296703297,16.2527472527,0.428571428571,31.9175824176,0.08,0.45,91
216,0.9,29.2857142857,16.0769230769,0.252747252747,31.9395604396,0.03,0.05,91
217,0.9,30.0526315789,15.0526315789,0.357894736842,30.5631578947,0.05,0.05,95
218,0.9,31.6847826087,15.5,0.434782608696,31.4510869565,0.08,0.05,92
219,0.9,30.5,12.9428571429,0.142857142857,28.3785714286,0.03,0.1,70
220,0.9,29.5180722892,13.686746988,0.313253012048,29.4277108434,0.05,0.1,83
221,0.9,29.7402597403,14.1558441558,0.207792207792,30.0584415584,0.08,0.1,77
222,0.9,30.5747126437,14.5057471264,0.137931034483,31.0632183908,0.03,0.15,87
223,0.9,29.5604395604,14.4945054945,0.208791208791,30.1648351648,0.05,0.15,91
224,0.9,29.0957446809,14.7127659574,0.340425531915,30.6489361702,0.08,0.15,94
225,0.9,29.6875,13.8875,0.125,28.5875,0.03,0.2,80
226,0.9,30.0,13.5217391304,0.20652173913,29.6956521739,0.05,0.2,92
227,0.9,28.4210526316,14.2105263158,0.315789473684,29.6052631579,0.08,0.2,76
228,0.9,29.387755102,14.0714285714,0.204081632653,30.1887755102,0.03,0.25,98
229,0.9,29.9397590361,15.1445783133,0.289156626506,30.9578313253,0.05,0.25,83
230,0.9,28.8659793814,13.4742268041,0.40206185567,28.7113402062,0.08,0.25,97
231,0.9,29.8684210526,15.9605263158,0.197368421053,32.8947368421,0.03,0.3,76
232,0.9,27.6712328767,12.9452054795,0.246575342466,28.1849315068,0.05,0.3,73
233,0.9,29.5263157895,14.3894736842,0.389473684211,30.0894736842,0.08,0.3,95
234,0.9,31.8085106383,16.2340425532,0.127659574468,31.0531914894,0.03,0.35,47
235,0.9,28.6708860759,13.7341772152,0.303797468354,28.2974683544,0.05,0.35,79
236,0.9,28.5555555556,13.0111111111,0.3,28.25,0.08,0.35,90
237,0.9,30.0581395349,15.7790697674,0.0813953488372,31.6860465116,0.03,0.4,86
238,0.9,29.6907216495,14.6701030928,0.237113402062,30.4690721649,0.05,0.4,97
239,0.9,30.3409090909,14.8522727273,0.465909090909,30.125,0.08,0.4,88
240,0.9,30.7534246575,16.0410958904,0.164383561644,30.6712328767,0.03,0.45,73
